Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
2015-0044-ARG,2015,0044,Natural,Meteorological,Storm,Convective storm,Rain,,--,Argentina,ARG,South America,Americas,"Colon, Cruz del Eje, Punilla districts (Cordoba province)",,Flood,,,,,,,Kph,,,,,2015,2,15,2015,2,24,8,,4500,,4500,,,17200,92.70882199
2015-0309-BGD,2015,0309,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Komen',Affected,Bangladesh,BGD,Southern Asia,Asia,"Cox's Bazar, Chittagong, Noakhali, Feni, Bandarban districts (Chittagong province), Patuakhali, Bhola, Barguna districts (Barisla province)",,Flood,,,,,,,Kph,,,,,2015,7,29,2015,7,30,45,,2600000,,2600000,,,40000,92.70882199
2015-0476-AFG,2015,0476,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Afghanistan,AFG,Southern Asia,Asia,"Badakhshan, Baghlan, Ghazni, Kapisa, Khost, Kunar, Nangarhar, Paktya, Panjsher, Parwan, Takhar, Kunduz, Nuristan, Laghman, Kabul provinces",,,,,,,,8,Richter,36.5244,70.3676,13:39,,2015,10,26,2015,10,26,115,58080,,34645,92725,,,,92.70882199
2015-0571-AFG,2015,0571,Natural,Geophysical,Earthquake,Ground movement,,,Affected,Afghanistan,AFG,Southern Asia,Asia,"Ashkasham town (Eshkmesh district, Badakhshan province)",,,,,,,,6,Richter,36.4935,71.1263,23:45,,2015,12,25,2015,12,25,,12,,395,407,,,,92.70882199
2015-0581-AFG,2015,0581,Natural,Hydrological,Flood,Flash flood,,,Affected,Afghanistan,AFG,Southern Asia,Asia,Faryab province,,,,,,,,,Km2,,,,,2015,5,9,2015,5,9,7,10,,3000,3010,,,,92.70882199
2015-0058-AFG,2015,0058,Natural,Hydrological,Landslide,Avalanche,,,Kill,Afghanistan,AFG,Southern Asia,Asia,Raghestan district (Badakhshan province),Heavy snowfall,,,,,,,,,,,,,2015,2,21,2015,2,21,12,,50,,50,,,,92.70882199
2015-0059-AFG,2015,0059,Natural,Hydrological,Landslide,Avalanche,,,Affected,Afghanistan,AFG,Southern Asia,Asia,Yamgan district,Hevay snowfall,,,,,,,,,,,,,2015,2,15,2015,2,15,6,,100,,100,,,,92.70882199
2015-0075-AGO,2015,0075,Natural,Hydrological,Flood,Flash flood,,,Affected,Angola,AGO,Middle Africa,Africa,"Bengo, Cabinda, Cuanza Sul, Kuanza Norte, Luanda, Lunda Norte, Lunda Sul, Malanje, Uige, Zaire provinces",,,,,,,,,Km2,,,,,2015,2,13,2015,2,14,5,,,2000,2000,,,,92.70882199
2015-0091-AGO,2015,0091,Natural,Hydrological,Flood,Flash flood,,,Kill,Angola,AGO,Middle Africa,Africa,"Belas city (Viana district, Luanda province), Cacuaco district (Luanda province), Lobito district (Benguela province)",Torrential rain,,,,,,,12133,Km2,-12.1145,13.88,,,2015,3,9,2015,3,23,69,,1000,,1000,,,,92.70882199
2015-0579-AGO,2015,0579,Natural,Biological,Epidemic,Viral disease,,Yellow fever,Kill,Angola,AGO,Middle Africa,Africa,"Cabinda, Cuanza Sul, Huambo, Huila, Uige, Bengo, Benguela, Bie, Cuando Cubango, Luanda Norte, Cunene, Luanda, Lunda Norte, Lunda Sul, Malanje, Moxico, Namibe, Zaire provinces",,,,,,,,13025874,Vaccinated,,,,,2015,12,5,2016,10,20,384,4599,,,4599,,,,92.70882199
2015-0038-ALB,2015,0038,Natural,Hydrological,Flood,Riverine flood,,,Waiting,Albania,ALB,Southern Europe,Europe,"Fier, Vlore, Kukes provinces",,,,,,,,,Km2,,,,,2015,1,31,2015,2,2,,,,,,,,,92.70882199
2015-0542-ALB,2015,0542,Natural,Hydrological,Flood,,,,Affected,Albania,ALB,Southern Europe,Europe,"Kukes, Has, Tropoje provinces (Kukes prefecture), Diber, Bulqize, Mat (Diber prefecture), Durres, Kruje provinces (Durres prefecture), Shkoder, Malesi E Madhe, Puke (Shkoder prefecture) (North); Gjirokaster, Permet, Tepelene (Gjirokaster prefecture) (South), Tirane province",Heavy rain,,,,,,,11410,Km2,41.287,19.966,,,2015,11,21,2015,12,4,1,,300,,300,,,,92.70882199
2015-0142-ARG,2015,0142,Natural,Geophysical,Volcanic activity,Ash fall,,Calbuco,Affected,Argentina,ARG,South America,Americas,"San Carlos de Bariloche town (Bariloche district, Rio Negro province)",,,,,,,,,,,,,,2015,4,24,2015,4,24,,,,,,,,,92.70882199
2015-0070-ARG,2015,0070,Natural,Hydrological,Flood,Riverine flood,,,Declar,Argentina,ARG,South America,Americas,"Cordoba, San Luis, Santiago del Estero, Catamarca, Santa Fe, Chaco, Corrientes, Salta, Tucuman provinces",Heavy rains,,,,,Yes,,,Km2,,,,,2015,3,4,2015,3,4,2,,15000,,15000,,,,92.70882199
2015-0349-ARG,2015,0349,Natural,Hydrological,Flood,Riverine flood,,,Affected,Argentina,ARG,South America,Americas,"Santos Lugares municipality (Tres de Febrero district, Buenos Aires district), Mar del Plata city (General Pueyrredon district, Buenos Aires district) Lujan, San Antonio de Areco, Campana, Salto, Chacabuco, Chivilcoy, Pilar, Quilmes, La Plata, Berisso, Zarate, Mercedes, San Andres de Giles, Pergamino, Junin, Pila, Arrecifes districts (Buenos Aires province), Venado Tuerto city (General Lopez district, Santa Fe province)",Heavy rains,,,,,,,133853,Km2,-35.1086,-59.81,,,2015,8,5,2015,8,12,3,,50000,,50000,,,,92.70882199
2015-0551-ARG,2015,0551,Natural,Hydrological,Flood,Riverine flood,,,Affected,Argentina,ARG,South America,Americas,"Concordia city (Condordia district, Entre Rios province), Hernandarias city (Paraná district, Entre Rios proince), Gualeguaychú, Colón districts (Entre Rios province), Paso de la Patria, Santa Ana cities (San Cosme district, Corrientes province), Perugorria city (Curuzu Cuatia district, Corrientes province), Cruz de los Milagros, Algarrobo, San José, Santa Lucia cities (Lavalle district, Corrientes province), Esquina, Goya, Paso de los Libres districts (Corrientes province)",El Nino,,,,,,,,Km2,,,,Uruguay river,2015,12,20,2016,1,11,6,,76133,,76133,,,,92.70882199
2015-0576-AUS,2015,0576,Natural,Hydrological,Flood,Flash flood,,,SigDam,Australia,AUS,Australia and New Zealand,Oceania,"Queensland, New South Wales provinces",,,,,,,,,Km2,,,,,2015,4,30,2015,5,3,6,,,,,,,400000,92.70882199
2015-0053-AUS,2015,0053,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone Lam,SigDam,Australia,AUS,Australia and New Zealand,Oceania,"Northern Territory, Western Australia provinces",,,,,,Yes,,185,Kph,,,,,2015,2,20,2015,2,20,,,390,48,438,,,78000,92.70882199
2015-0079-AUS,2015,0079,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Marcia',Affected,Australia,AUS,Australia and New Zealand,Oceania,"Queensland, New South Wales provinces",,,,,,Yes,,210,Kph,,,,,2015,2,22,2015,2,24,1,,,6000,6000,,396000,546000,92.70882199
2015-0135-AUS,2015,0135,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Olwyn',Affected,Australia,AUS,Australia and New Zealand,Oceania,"Carnarvon, Ashburton, Upper Gascoyne, Geraldton-Greenough, Irwin districts (Western Australia province)",,,,,,,,160,Kph,,,,,2015,3,12,2015,3,15,,,600,,600,,49000,57000,92.70882199
2015-0560-AUS,2015,0560,Natural,Climatological,Wildfire,Forest fire,,,Affected,Australia,AUS,Australia and New Zealand,Oceania,"Wye River, Separation Creek cities (Colac-Otway (S) district, Victoria province)",,,,,,,,,Km2,,,,,2015,12,19,2015,12,26,,,,348,348,,,100000,92.70882199
2015-0010-AUS,2015,0010,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Affected,Australia,AUS,Australia and New Zealand,Oceania,"Sampson Flat city (Playford (C) district, South Australia province), Kersbrook (Adelaide Hills (DC) district, Mount Lofty Ranges, South Australia province)",,,,,,,,,Km2,,,,,2015,1,3,2015,1,8,,134,,,134,,45000,51000,92.70882199
2015-0514-AUS,2015,0514,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Affected,Australia,AUS,Australia and New Zealand,Oceania,"Pinery, Balaklava cities (Wakefield (DC) district, North Mount Lofty Ranges, South Australia province), Roseworthy city (Light (RegC) district, South Australia province)",,,,,,,,,Km2,,,,,2015,11,25,2015,11,28,2,30,,105,135,,120000,200000,92.70882199
2015-0109-BDI,2015,0109,Natural,Hydrological,Landslide,Landslide,,,Kill,Burundi,BDI,Eastern Africa,Africa,"Rutunga river (Muhuta district, Bujumbura rural province)",Heavy rains,,,,,,,,,,,,,2015,3,29,2015,3,29,11,,,2870,2870,,,,92.70882199
2015-0578-BDI,2015,0578,Natural,Hydrological,Flood,,,,Kill,Burundi,BDI,Eastern Africa,Africa,Mutimbuzi district (Bujumbura Rural province),El Nino,,,,,,,,Km2,,,,Rusizi river,2015,11,,2016,2,1,52,,4179,,4179,,,13000,92.70882199
2015-0410-BEL,2015,0410,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,Belgium,BEL,Western Europe,Europe,"Vlaams Gewest, Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne provinces",,,,,,,,,°C,,,,,2015,6,30,2015,7,5,410,,,,,,,,92.70882199
2015-0213-BGD,2015,0213,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Kill,Bangladesh,BGD,Southern Asia,Asia,"Sunamganj district (Sylhet province), Jamalpur, Sherpur, Mymensingh districts (Dhaka province), Gaibandha, Dinajpur districts (Rangpur province), Bagerhat district (Khulna province)",,,,,,,,,Kph,,,,,2015,5,2,2015,5,3,13,,,,,,,,92.70882199
2015-0601-BGD,2015,0601,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Affected,Bangladesh,BGD,Southern Asia,Asia,Dinajpur,,,,,,,,,Kph,,,,,2015,5,23,2015,5,23,6,50,40000,,40050,,,,92.70882199
2015-0144-BGD,2015,0144,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Bangladesh,BGD,Southern Asia,Asia,"Savar area (Dhaka district, Dhaka province), Narayanganj, Gazipur, Gopalganj districts (Dhaka province), Sunamganj district (Sylhet province), Comilla, Feni districts (Chittagong province), Habiganj district (Sylhet province), Gangachara area (Rangpur district, Rangpur province), Gaibandha district (Rangpur province), Rajshahi, Naogaon, Bogra, Pabna districts (Rajshahi province)",,,,,,,,8,Richter,28.2305,84.7314,,,2015,4,25,2015,4,25,4,200,,,200,,,,92.70882199
2015-0411-BGD,2015,0411,Natural,Hydrological,Landslide,Landslide,,,Affected,Bangladesh,BGD,Southern Asia,Asia,"Lalkhan Bazar area (Chittagong district, Chittagong province)",,,,,,,,,,,,,,2015,7,18,2015,7,18,7,3,1000,,1003,,,,92.70882199
2015-0038-BGR,2015,0038,Natural,Hydrological,Flood,Riverine flood,,,Waiting,Bulgaria,BGR,Eastern Europe,Europe,"Blagoevgrad, Petrich districts (Blagoevgrad province), Burgas district (Burgas province), Smoljan, Devin districts (Smoljan province), Dalgopol, Avren districts (Varna province), Topolovgrad district (Haskovo province), Strazhitca district (Veliko Tarnovo province), Boljarovo district (Jambol province), Vurshetc district (Montana province), Dobrich, Kardzhali provinces",Heavy rains and strong winds,,,,,,,,Km2,,,,,2015,2,1,2015,2,4,5,,,,,,,5800,92.70882199
2015-0465-BIH,2015,0465,Natural,Hydrological,Flood,Flash flood,,,Affected,Bosnia and Herzegovina,BIH,Southern Europe,Europe,"Bosanska Dubica district (Knezica village, Kozarska Dubica town and municipality), Prijedor district, Bosanski Novi district(Novi Grad city, Kostajnica city), Bosanska Gradiska district (Gradiska city) (Republika Srpska province), Unsko-sanski district (Bihac city) (Federacija Bosne I Hercegovine province)",,,,,,,,,Km2,,,,Una,2015,10,14,2015,10,16,,,,,,,,,92.70882199
2015-0511-BLZ,2015,0511,Natural,Hydrological,Flood,,,,Affected,Belize,BLZ,Central America,Americas,"Belize city (Belize province), Orange walk, Corozal provinces",Heavy rains,,,,,,,,Km2,,,,,2015,10,15,2015,10,19,,,20000,,20000,,,,92.70882199
2016-0175-BGD,2016,0175,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone Roanu,Kill,Bangladesh,BGD,Southern Asia,Asia,"Barisal; Noakhali, Lakshmipur, Chandpur (Chittagong); Cox’s Bazar, Bhola, Barguna, Patuakhali",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,88,,2016,5,21,2016,5,21,28,,1083855,119700,1203555,,,600000,93.87843648
2016-0112-AFG,2016,0112,Natural,Hydrological,Flood,Flash flood,,,Kill,Afghanistan,AFG,Southern Asia,Asia,"Daykundi, Ghazni, Uruzgan provinces",,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2016,4,2,2016,4,8,30,,,,,,,,93.87843648
2016-0191-AFG,2016,0191,Natural,Hydrological,Flood,,,,Kill,Afghanistan,AFG,Southern Asia,Asia,"Badakhshan (Tashkan, Baharak, Darayem, Shahada districts)",,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2016,5,9,2016,5,12,6,,,,,,,,93.87843648
2016-0201-AUS,2016,0201,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,SigDam,Australia,AUS,Australia and New Zealand,Oceania,"New South Wales, Queensland, Tasmania provinces",,Flood,,,,,,115,Kph,,,,,2016,6,4,2016,6,5,5,,,,,,310000,500000,93.87843648
2016-0211-BEL,2016,0211,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,SigDam,Belgium,BEL,Western Europe,Europe,"Manage village (Mons region, Hainaut district, Region wallonne province), Jodoigne city (Brabant wallon district, Region wallonne province), Brussels airport, Atomium monument (Area without administrative 2nd division, Region de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewes province)",,Flood,,,,,,,Kph,,,,,2016,6,23,2016,6,24,1,,,,,,,,93.87843648
2016-0355-BHS,2016,0355,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Matthew,Kill,Bahamas (the),BHS,Caribbean,Americas,"New Providence, Nassau",,Flood,,,,,,,Kph,,,,,2016,9,28,2016,10,10,,,,,,,,600000,93.87843648
2016-0154-BGD,2016,0154,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Kill,Bangladesh,BGD,Southern Asia,Asia,"Dhaka (Jatrabarhi’s Konaparha), Rajshahi (Mohanpur, Durgapur, Gogagarhi), Sirajgani (Raiganj, Ullaparha), Pabna (Sujanagar, Berha), Rajbari, Kishoreganj (Hossainpur, Tarhail, Bajitpur), Brahmanbarhia (Sarail, Banchharampur), Gazipur (Kapasia), Bogra (Sherpur), Natore (Lalpur), Habiganj (Baniachong), Naogaon (Atrai), Nilphamari (Kishoreganj)",,Lightening,,,,,,,Kph,,,,,2016,5,13,2016,5,15,59,,,,,,,,93.87843648
2016-0135-AFG,2016,0135,Natural,Hydrological,Flood,Flash flood,,,Kill,Afghanistan,AFG,Southern Asia,Asia,"Baghlan, Daykundi, Samangan, Takhar, Badghis provinces",Heavy rains,,,,,,,,Km2,,,,,2016,4,16,2016,4,17,31,,,,,,,,93.87843648
2016-0309-AFG,2016,0309,Natural,Hydrological,Flood,,,,Kill,Afghanistan,AFG,Southern Asia,Asia,"Yaqubi, Haroonkhel districts (Khost city); Zazai Maidan district",,,,,,,,,Km2,,,,,2016,7,19,2016,7,19,17,,,,,,,,93.87843648
2016-0056-AGO,2016,0056,Natural,Hydrological,Flood,Flash flood,,,Kill,Angola,AGO,Middle Africa,Africa,"Lubango city (Lubango district, Huila province)",,,,,,,,,Km2,,,,"Capitao, Caculuvar rivers",2016,2,29,2016,3,1,54,,,,,,,,93.87843648
2016-0088-AGO,2016,0088,Natural,Hydrological,Flood,Flash flood,,,Declar,Angola,AGO,Middle Africa,Africa,"Sumbe district (Cuanza Sul province), Cacolo, Dala, Saurimo districts (Lunda Sul province)",Extreme rainfall,,,,,,,,Km2,,,,,2016,3,3,2016,3,6,6,,,2755,2755,,,,93.87843648
2016-0131-AGO,2016,0131,Natural,Hydrological,Flood,Flash flood,,,Kill,Angola,AGO,Middle Africa,Africa,"Viana, Cacuaco, Belas (Viana), Cazenga and urban districts of Ingombota, Kilamba Kiaxi, Rangel, Maianga (Luanda), Ceramina, Mateba, Paraiso, Augusto Ngangula municiplalities",Torrential rains,,,,,,,59746,Km2,-832.104,13.98,,,2016,4,16,2016,4,22,23,,3200,2400,5600,,,,93.87843648
2016-0247-AGO,2016,0247,Natural,Hydrological,Flood,,,,Kill,Angola,AGO,Middle Africa,Africa,"Cuanza Sul, Lunda Sul provinces",Heavy rains,,,,,,,277015,Km2,-115.936,160.56,,,2016,3,1,2016,3,10,30,,1544,,1544,,,,93.87843648
2016-0420-ALB,2016,0420,Natural,Hydrological,Flood,,,,Affected,Albania,ALB,Southern Europe,Europe,"Vlora, Fier provinces, Klos district (Mat province), Kelcyre district (Permet province), Tirane district (Tirane province)",Heavy rains,,,,,,,16543,Km2,42.254,19.446,,"Fierza, Koman, Vau i Dejes, Ulza, Shkopet, Drini, Mat, Vjosa, Elbasani, Berat, Gjirokastra, Vlora",2016,11,7,2016,11,10,2,,4500,,4500,,,,93.87843648
2016-0127-ARG,2016,0127,Natural,Hydrological,Flood,Riverine flood,,,Affected,Argentina,ARG,South America,Americas,"Entre Rios, Corrientes, Santa Fe, Chaco, Formosa, Santiago del Estero, Buenos Aires, Cardoba provinces",Excessive rains,,,,,,,,Km2,,,,"Parana, Salado rivers",2016,4,4,2016,4,15,,,72119,,72119,,50000,1000000,93.87843648
2016-0482-ARM,2016,0482,Natural,Hydrological,Landslide,Landslide,,,Affected,Armenia,ARM,Western Asia,Asia,"Karchaghbyur city (Vardanis district, Gegharqunik province), Artik city (Artik district, Shirak province)",Heavy hailstorm and rains,,,,,,,,,,,,,2016,6,24,2016,6,24,,,750,,750,,,,93.87843648
2016-0014-AUS,2016,0014,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,Yarloop busfires,Affected,Australia,AUS,Australia and New Zealand,Oceania,"Yarloop, Cookernup areas (Harvey (S) district, Western Australia province), Hamel, Waroona areas (Waroona (S) district, Western Australia province)",Lighthning,,,,,Yes,,,Km2,,,,,2016,1,5,2016,1,10,2,,,540,540,,50000,110000,93.87843648
2016-0515-AUS,2016,0515,Natural,Biological,Epidemic,Viral disease,,Dengue,Affected,Australia,AUS,Australia and New Zealand,Oceania,,,,,,,,,,Vaccinated,,,,,2016,1,1,2016,1,30,,2016,,,2016,,,,93.87843648
2016-0428-AUS,2016,0428,Natural,Hydrological,Flood,,,,Affected,Australia,AUS,Australia and New Zealand,Oceania,"Victoria, South Australia provinces",Heay rains,,,,,,,634200,Km2,-33.277,139.898,,,2016,9,10,2016,9,22,1,,280,,280,,,25000,93.87843648
2016-0179-AUT,2016,0179,Natural,Hydrological,Flood,,,,Kill,Austria,AUT,Western Europe,Europe,"Salzburg province, Braunau am Inn district (Oberosterreich province)",Heavy rains,,,,,,,,Km2,,,,,2016,6,1,2016,6,1,,,,,,,,,93.87843648
2016-0460-BDI,2016,0460,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Affected,Burundi,BDI,Eastern Africa,Africa,"Bujumbura Rural, Kabezi District, Cibitoke",,,,,,Yes,,,Vaccinated,,,,,2016,8,3,2016,9,8,1,193,,,193,,,,93.87843648
2016-0179-BEL,2016,0179,Natural,Hydrological,Flood,,,,Kill,Belgium,BEL,Western Europe,Europe,"Harsin area (Nassogne commune, Luxembourg district, Region wallonne province)",Thunderstorms,,,,,,,,Km2,,,,,2016,6,2,2016,6,8,1,,,,,,,,93.87843648
2016-0448-BEN,2016,0448,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Affected,Benin,BEN,Western Africa,Africa,"Cotonou, Savalou, So-Ava, Abomey-Calavi, Dassa, Abomey-Zou, Parakou, Ze",,,,,,,,,Vaccinated,,,,,2016,8,16,2016,9,3,13,678,,,678,,,,93.87843648
2016-0287-BFA,2016,0287,Natural,Hydrological,Flood,Riverine flood,,,Affected,Burkina Faso,BFA,Western Africa,Africa,"Arr.3 (Zogo, Watinoma, sector 12 and 13), Arr. 4, Arr. 7 (Sondogo), Arr.8 (Bissighin), Arr. 10, Tanghlin Dassouri Arr. (Ouagadougou city, Kadiogo district, Centre province), Boucle du Mouhoun, Cascades, Centre-nord, Centre-ouest, Est, Hauts-bassins, Nord, Sahel provinces",Heavy rains,,,,,,,,Km2,,,,,2016,6,21,2016,7,16,15,35,27826,7032,34893,,,,93.87843648
2016-0002-BGD,2016,0002,Natural,Geophysical,Earthquake,Ground movement,,,Affected,Bangladesh,BGD,Southern Asia,Asia,"Dhaka, Jamalpur districts (Dhaka province), Rajshahi district (Rajshahi province), Lalmonirhat, Panchagarh districts (Rangpur province)",,,,,,,,7,Richter,24.804,93.65,,,2016,1,3,2016,1,3,5,70,,,70,,,,93.87843648
2016-0288-BGD,2016,0288,Natural,Hydrological,Flood,Riverine flood,,,Kill,Bangladesh,BGD,Southern Asia,Asia,"Kurigram, Bogra, Sirajganj, Gaibandha, Tangail, Jamalpur, Nilphamari, Lalmonirhat, Sunamganj, Faridpur, Kustia,Madaripur, Manikganj, Rajbari, Rangpur, Sariatpur districts",Heavy rains,,,,,,,45667,Km2,90.04,24.09,,,2016,7,19,2016,8,2,106,,1900000,,1900000,,,150000,93.87843648
2016-0284-BLZ,2016,0284,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Earl,Kill,Belize,BLZ,Central America,Americas,"San Pedro, Caye Caulker, Belize city, Ladyville, (Belize province), Orange Walk province, Belmopan (Cayo province)",,,,,,,,110,Kph,,,,,2016,8,4,2016,8,4,,,10355,,10355,,,,93.87843648
2015-0248-CHN,2015,0248,Natural,Hydrological,Flood,Riverine flood,,,Kill,China,CHN,Eastern Asia,Asia,"Hunan Sheng, Guizhou Sheng, Hubei Sheng, Gansu Sheng, Zhejiang Sheng, Anhui Sheng, Fujian Sheng, Jiangxi Sheng, Chongqing Shi, Sichuan Sheng provinces",,Storm,"Slide (land, mud, snow, rock)",,,,,,Km2,,,,,2015,6,7,2015,6,11,16,,60000,,60000,,,2000000,92.70882199
2015-0457-CHN,2015,0457,Natural,Hydrological,Flood,,,,Kill,China,CHN,Eastern Asia,Asia,"Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Chongqing Shi, Sichuan Sheng, Guizhou Sheng, Yunnan Sheng, Hainan Sheng, Hubei Sheng, Hunan Sheng, Jiangxi Sheng provinces",,Storm,"Slide (land, mud, snow, rock)",,,,,,Km2,,,,,2015,9,15,2015,9,23,14,,15000,,15000,,,,92.70882199
